,account_id,active,advertiser_domain_list_ids,advertiser_domain_white_list,app_bundle_list_ids,app_bundle_white_list,app_name_list_ids,app_name_white_list,blocking_unknown_advertiser_domains,coppa_param_required,coppa_values,country_codes,country_list_ids,country_source,country_white_list,created_at,dma_codes,dma_list_ids,dma_source,dma_white_list,dnt_param_required,dnt_values,domain_list_ids,domain_white_list,environment,format,gdpr_consent_param_required,gdpr_consent_string_values,gdpr_supply_param_required,gdpr_supply_values,id,ip_list_ids,ip_white_list,key_ids,lmt_param_required,lmt_values,max_aspect_ratio,min_aspect_ratio,name,note,player_sizes,post_imp_detection_enabled,post_imp_percentage_forensiq,post_imp_percentage_ias,post_imp_percentage_moat,post_imp_percentage_protected,post_imp_percentage_whiteops,pre_bid_blocking_components,pre_bid_blocking_enabled,segment_groups,segment_targeting_enabled,supply_partner_id,supply_router_ratios,tag_pixels,targeted_iab_category_codes,targeted_iab_category_white_list,targeted_iab_tier2_category_codes,targeted_iab_tier2_category_white_list,third_party_override,updated_at,us_privacy_param_required,us_privacy_supply_white_list,us_privacy_values,user_agent_brands,user_agent_browsers,user_agent_devices,user_agent_operating_systems
2513,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-20T13:40:37.203Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17691,[],,[2233 1749],False,[],,,EdgeSports-FreeTV,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,54947,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688150}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688151}]",[],[],,[],,True,2022-12-20 13:40:37.203,False,,[],[],[],[],[]
2514,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-21T08:57:47.198Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17705,[],,[2233 1749],False,[],,,EdgeSport-FreeTV (Not in Use),,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,54947,"[{'fallback_supply_tag_id': None, 'ratio': 45, 'supply_tag_id': 688233}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688232}]",[],[],,[],,True,2022-12-23 16:11:50.257,False,,[],[],[],[],[]
2515,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-22T05:27:00.342Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17731,[],,[1749 2233],False,[],,,channel_1_new_adv-Samsung CA,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,65036,"[{'fallback_supply_tag_id': None, 'ratio': 70, 'supply_tag_id': 688329}
 {'fallback_supply_tag_id': None, 'ratio': 30, 'supply_tag_id': 688330}]",[],[],,[],,True,2022-12-22 05:27:00.342,False,,[],[],[],[],[]
2516,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-22T05:56:01.820Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17732,[],,[2233 1749],False,[],,,channel_1-Samsung MX,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,65037,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688334}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688335}]",[],[],,[],,True,2022-12-22 05:56:01.820,False,,[],[],[],[],[]
2517,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-22T12:09:51.685Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17733,[],,[2233 1749],False,[],,,Validation_Checking-Samsung CA,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,65037,"[{'fallback_supply_tag_id': None, 'ratio': 2, 'supply_tag_id': 688348}
 {'fallback_supply_tag_id': None, 'ratio': 98, 'supply_tag_id': 688349}]",[],[],,[],,True,2022-12-22 12:09:51.685,False,,[],[],[],[],[]
2518,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-22T12:14:10.804Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17734,[],,[2233 1749],False,[],,,Validation_Checking-Samsung MX,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,65037,"[{'fallback_supply_tag_id': None, 'ratio': 3, 'supply_tag_id': 688350}
 {'fallback_supply_tag_id': None, 'ratio': 97, 'supply_tag_id': 688351}]",[],[],,[],,True,2022-12-22 12:14:10.804,False,,[],[],[],[],[]
2519,947,False,[],,[],,[],,False,False,[],[],[],values,,2022-12-22T12:49:31.252Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17735,[],,[2233 1749],False,[],,,XploreIntUK-Samsung UK,Change in business model from Inventory to  Rev share https://amagiengg.atlassian.net/browse/ADOPS-1788,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,55714,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688353}]",[],[],,[],,True,2022-12-28 12:52:01.690,False,,[],[],[],[],[]
2520,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-22T15:06:31.973Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17736,[],,[2233 1749],False,[],,,Lifestyle-Samsung-Rakuten,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,57850,"[{'fallback_supply_tag_id': None, 'ratio': 30, 'supply_tag_id': 688360}
 {'fallback_supply_tag_id': None, 'ratio': 70, 'supply_tag_id': 688359}]",[],[],,[],,True,2023-06-07 07:25:29.470,False,,[],[],[],[],[]
2521,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-23T08:24:15.447Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17760,[],,[1749 2233],False,[],,,adv-Samsung CA,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,65036,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688422}
 {'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688423}]",[],[],,[],,True,2022-12-23 08:24:15.447,False,,[],[],[],[],[]
2522,947,True,[],,[],,[],,False,False,[],[],[],values,,2022-12-23T08:47:21.209Z,[],[],values,,False,[],[],,ctv,video,False,[],False,[],17761,[],,[1749 2233],False,[],,,WedoBigDocs-RewardedTV,,['xs' 's' 'm' 'l' 'xl' 'u'],False,0,0,0,0,0,[],False,[],False,64693,"[{'fallback_supply_tag_id': None, 'ratio': 50, 'supply_tag_id': 688424}
 {'fallback_supply_tag_id': None, 'ratio': 20, 'supply_tag_id': 688425}
 {'fallback_supply_tag_id': None, 'ratio': 30, 'supply_tag_id': 688684}]",[],[],,[],,True,2023-01-02 12:19:29.244,False,,[],[],[],[],[]
